Designator,Mid X,Mid Y,Rotation,Layer
LED0,46.7875,-45.234086,60.0,top
LED1,50.7875,-45.384086,240.0,top
LED10,62.7875,-74.1,240.0,top
LED11,66.7875,-74.1,60.0,top
LED12,70.0,-67.75,180.0,top
LED13,43.425,-67.75,0.0,top
LED2,54.7875,-45.384086,240.0,top
LED3,58.7875,-45.384086,60.0,top
LED4,62.7875,-45.384086,240.0,top
LED5,66.7875,-45.384086,60.0,top
LED6,46.7875,-74.1,240.0,top
LED7,50.7875,-74.1,60.0,top
LED8,54.7875,-74.1,240.0,top
LED9,58.7875,-74.1,60.0,top
R0,68.4625,-52.5,0.0,top
R1,68.4625,-55.0,180.0,top
R2,68.5,-57.5,0.0,top
R3,68.4625,-60.0,0.0,top
R4,68.5375,-62.5,180.0,top
R5,68.5375,-65.0,0.0,top
R6,44.5375,-57.25,0.0,top
R7,71.75,-63.7875,270.0,top
R8,44.5375,-60.5,180.0,top
R9,44.5,-62.75,0.0,top
SW1,56.65,-53.25,0.0,top
SW2,56.75,-60.0,0.0,top
SW3,56.75,-66.65,0.0,top
TP1,46.0,-52.5,0.0,top
TP2,46.025,-55.025,0.0,top
U1,56.62,-60.12,90.0,bottom
